BuildingCode,Longitude,Latitude
2403000105,125.58398,10.31905108
2403000106,125.5855504,10.299542
2403000107,125.5855553,10.2995419
2403000108,125.5855545,10.2995455
2403000110,125.5855588,10.2995398
2403000111,125.5855539,10.2995453
2403000112,125.583986,10.31904003
2403000113,125.5855539,10.2995453
2403000114,125.585554,10.2995453
2403000115,125.5855593,10.2995406
2403000116,125.5853819,10.298232
2403000117,125.5853809,10.2982318
2403000118,125.5853767,10.2982319
2403000119,125.5853839,10.2982343
2403000120,125.5853857,10.2982355
2403000121,125.5853741,10.2982246
2403000122,125.5850001,10.2972791
2403000124,125.5839935,10.31903045
2403000125,125.5885244,10.2938169
2403000126,125.586815,10.3222033
2403000128,125.5871569,10.2957679
2403000129,125.5841282,10.31899667
2403000130,125.5840025,10.31902037
2403000131,125.5840145,10.31901276
2403000132,125.5837379,10.3193289
2403000133,125.5874987,10.3132198
2403000134,125.5874987,10.3132198
2403000135,125.5827122,10.3185684
2403000178,125.5582829,10.3192173
2403000179,125.5582731,10.3192123
2403000180,125.5581746,10.3190258
2403000182,125.5580913,10.3237485
2403000184,125.5580913,10.3237485
2403000185,125.5580913,10.3237485
2403000187,125.5584333,10.3275625
2403000188,125.5605028,10.3270839
2403000189,125.5584333,10.3275625
2403000190,125.5584333,10.3275625
2403000191,125.5605028,10.3271219
2403000192,125.5605872,10.3271316
2403000194,125.5603293,10.3272688
2403000195,125.5584333,10.3275625
2403000196,125.560426,10.3269852
2403000197,125.5603184,10.3272921
2403000198,125.5586669,10.3257401
2403000199,125.5589394,10.3258456
2403000200,125.5577021,10.325707
2403000201,125.5576691,10.3257038
2403000202,125.557349,10.3255769
2403000203,125.5584333,10.3275625
2403000222,125.5837936,10.3200697
2403000223,125.5837379,10.3193289
2403000224,125.5837941,10.3200563
2403000225,125.5836752,10.320208
2403000226,125.5837939,10.3200578
2403000232,125.6204883,10.2574383
2403000233,125.6196724,10.2567519
2403000236,125.6208895,10.2565044
2403000237,125.6208616,10.2565295
2403000238,125.6196887,10.2567977
2403000239,125.6200026,10.2568009
2403000240,125.6199952,10.2567932
2403000241,125.6209083,10.2561317
2403000242,125.6213967,10.255785
2403000243,125.6208759,10.2565882
2403000244,125.6208446,10.256509
2403000245,125.6208981,10.2565501
2403000246,125.6208656,10.2566324
2403000247,125.6208789,10.2566283
2403000248,125.6208916,10.2566173
2403000249,125.6208847,10.2566169
2403000250,125.6197087,10.2562652
2403000251,125.6196145,10.2568093
2403000252,125.6196407,10.2568067
2403000253,125.6209363,10.2567095
2403000254,125.620727,10.256547
2403000257,125.6211017,10.2570933
2403000258,125.5422213,10.31801326
2403000259,125.5431195,10.31809389
2403000260,125.6247556,10.2581457
2403000261,125.617579,10.2551957
2403000263,125.6208763,10.2565755
2403000264,125.6208979,10.2566162
2403000265,125.6209561,10.2565946
2403000266,125.6244139,10.2578924
2403000267,125.6207657,10.256518
2403000268,125.6207355,10.2565232
2403000303,125.5580913,10.3237485
2403000304,125.5580913,10.3237485
2403000305,125.5580913,10.3237485
2403000306,125.5580913,10.3237485
2403000325,125.5845253,10.3032494
2403000326,125.5849165,10.3033631
2403000330,125.5848301,10.302584
2403000335,125.6274383,10.2571717
2403000336,125.6204176,10.25664366
2403000337,125.62627,10.257795
2403000338,125.6247467,10.2556233
2403000339,125.61769,10.2490083
2403000340,125.619723,10.25634156
2403000341,125.6267567,10.2577483
2403000342,125.6268333,10.25771
2403000343,125.6268817,10.2577017
2403000354,125.5808365,10.2783115
2403000355,125.5805693,10.2783768
2403000356,125.5868009,10.2800236
2403000357,125.5866436,10.2798985
2403000358,125.5865592,10.2794796
2403000359,125.5864177,10.2794843
2403000360,125.5801578,10.2774276
2403000361,125.5804975,10.2777242
